ID_NOTICIA,ID_MIDIA,DE_TITULO,DE_TEXTO_ALTERNATIVO,DE_URL_MIDIA,ST_STATUS
2,20,Programa VAI galeria,Programa VAI galeria,http://www.capital.sp.gov.br/static/2013/11/z-83mfU-xf5IB9cYkxLlZQ.jpg,1
2,23,Galeria - Programa Vai,Galeria - Programa Vai,http://www.capital.sp.gov.br/static/2013/11/lk0B6-cDQil0ItMpb0D88g.jpg,1
6,23,Galeria - Programa Vai,Galeria - Programa Vai,http://www.capital.sp.gov.br/static/2013/11/lk0B6-cDQil0ItMpb0D88g.jpg,1
